event_type,event_cause,latitude,longitude,corridor,zone,police_station,junction,priority,requires_road_closure,vehicle_type,start_datetime,end_datetime
Vehicle Breakdown,Breakdown,13.0246963,77.5470577,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Junction near Yeshwanthpura Traffic PS,High,False,Bus,2024-01-24 05:43:42,2024-01-24 06:15:55
Road Repair,Construction,13.0556221,77.6471416,Other Corridor,East Zone,Hennuru Traffic PS,Junction near Hennuru Traffic PS,Medium,True,None,2023-11-23 20:10:38,2023-11-24 06:05:46
Vehicle Breakdown,Breakdown,13.016195,77.7093283,Other Corridor,East Zone,K.R. Pura Traffic PS,Junction near K.R. Pura Traffic PS,Low,False,Truck,2023-11-24 20:03:33,2023-11-24 21:07:10
Other,Other,13.0416266,77.5477991,ORR North 2,North Zone,Jalahalli Traffic PS,Junction near Jalahalli Traffic PS,High,False,None,2023-12-12 01:38:36,2023-12-12 01:54:14
Vehicle Breakdown,Breakdown,13.049128,77.4958286,Other Corridor,West Zone,Peenya Traffic PS,Junction near Peenya Traffic PS,Low,False,LCV,2024-01-12 08:27:51,2024-01-12 08:58:54
Vehicle Breakdown,Breakdown,13.056078,77.6329093,Hennur Main Road,North Zone,Hennuru Traffic PS,Thanisandra Circle,High,False,Bus,2023-11-25 04:39:39,2023-11-25 05:30:02
Vehicle Breakdown,Breakdown,13.0871167,77.5950933,Bellary Road 2,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,High,False,Other,2023-11-25 05:03:37,2023-11-25 05:48:15
Vehicle Breakdown,Breakdown,12.96309,77.748285,Other Corridor,East Zone,Whitefield Traffic PS,Junction near Whitefield Traffic PS,Low,False,Truck,2023-12-12 04:26:21,2023-12-12 05:07:42
Other,Other,13.0415774,77.5471055,ORR North 2,North Zone,Jalahalli Traffic PS,Junction near Jalahalli Traffic PS,High,False,None,2023-11-25 05:40:10,2023-11-25 06:54:45
Vehicle Breakdown,Breakdown,12.9558583,77.7263767,Varthur Road,East Zone,Whitefield Traffic PS,Junction near Whitefield Traffic PS,High,False,LCV,2023-11-25 05:45:04,2023-11-25 06:39:35
Vehicle Breakdown,Breakdown,13.0373345,77.5891886,Bellary Road 1,North Zone,Kodigehalli Traffic PS,Junction near Kodigehalli Traffic PS,High,False,Truck,2023-11-25 06:54:33,2023-11-25 08:31:04
Road Repair,Construction,12.9693762,77.7012364,ORR East 2,East Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-01-11 21:45:46,2024-01-12 09:05:46
Vehicle Breakdown,Breakdown,12.9614083,77.7477767,Other Corridor,East Zone,Whitefield Traffic PS,Junction near Whitefield Traffic PS,Low,False,Bus,2023-12-12 05:07:50,2023-12-12 05:23:24
Vehicle Breakdown,Breakdown,13.004995,77.6372391,Other Corridor,North Zone,Banaswadi Traffic PS,Junction near Banaswadi Traffic PS,Medium,True,Car,2023-12-12 06:57:37,2023-12-12 07:04:15
Other,Other,13.0664554,77.6407115,Other Corridor,East Zone,Hennuru Traffic PS,Gowdas Sri A Hanumanthagowda Circle,Low,False,None,2023-11-25 23:03:37,2023-11-26 00:23:33
Vehicle Breakdown,Breakdown,13.0436044,77.6050417,ORR North 1,North Zone,Hebbala Traffic PS,Junction near Hebbala Traffic PS,High,False,Car,2023-11-25 23:42:35,2023-11-26 00:19:20
Vehicle Breakdown,Breakdown,12.9805555,77.5166163,Other Corridor,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,Low,False,Truck,2023-11-25 23:45:48,2023-11-25 23:54:33
Vehicle Breakdown,Breakdown,13.0000768,77.5996972,Other Corridor,Central Zone,R.T. Nagar Traffic PS,Junction near R.T. Nagar Traffic PS,Low,False,Car,2023-11-26 01:16:49,2023-11-26 02:25:17
Vehicle Breakdown,Breakdown,13.1843296,77.5664982,Bellary Road 2,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,High,False,Bus,2023-11-26 01:26:47,2023-11-26 02:46:00
Road Repair,Potholes,12.9838831,77.5287012,Magadi Road,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,High,False,None,2024-01-24 06:45:09,2024-01-25 05:23:32
Road Repair,Potholes,12.9284979,77.5925776,Other Corridor,Central Zone,Jayanagara Traffic PS,Junction near Jayanagara Traffic PS,Medium,True,None,2023-11-26 05:48:11,2023-11-26 05:57:51
Vehicle Breakdown,Breakdown,13.0469858,77.5007263,Other Corridor,West Zone,Peenya Traffic PS,Junction near Peenya Traffic PS,Low,False,Car,2023-11-26 06:32:02,2023-11-26 06:50:09
Vehicle Breakdown,Breakdown,12.9989526,77.5842517,Bellary Road 1,West Zone,Sadashivanagar Traffic PS,Md Nanjundaswamy Circle,High,False,Truck,2023-12-12 20:11:40,2023-12-12 20:20:46
Protest,Public Event,13.160686,77.5955777,Other Corridor,Central Zone,Chikkajala Traffic PS,Junction near Chikkajala Traffic PS,Low,False,None,2023-11-26 10:42:59,2023-11-26 11:35:46
Protest,Public Event,13.1607775,77.5956523,Other Corridor,Central Zone,Chikkajala Traffic PS,Junction near Chikkajala Traffic PS,Low,False,None,2023-11-26 10:36:43,2023-11-26 11:36:46
Road Repair,Construction,12.9695686,77.7006655,ORR East 2,East Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-01-12 21:05:56,2024-01-13 09:05:46
Protest,Public Event,13.160686,77.5955777,Other Corridor,Central Zone,Chikkajala Traffic PS,Junction near Chikkajala Traffic PS,Low,False,None,2023-11-26 10:42:59,2023-11-26 11:35:46
Vehicle Breakdown,Breakdown,13.0128127,77.5535107,West of Chord Road,West Zone,Malleshwaram Traffic PS,Junction near Malleshwaram Traffic PS,High,False,Bus,2023-11-27 00:23:54,2023-11-27 01:02:05
Vehicle Breakdown,Breakdown,12.9902533,77.5042758,Magadi Road,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,High,False,Truck,2023-11-27 01:00:15,2023-11-27 01:09:09
Vehicle Breakdown,Breakdown,12.9198233,77.542495,Other Corridor,West Zone,Banashankari Traffic PS,Junction near Banashankari Traffic PS,Low,False,LCV,2023-12-12 20:42:14,2023-12-12 22:37:32
Road Repair,Road Conditions,12.9625629,77.5125679,Other Corridor,West Zone,Jnanabharathi Traffic PS,Junction near Jnanabharathi Traffic PS,Low,False,None,2024-01-12 22:17:06,2024-01-12 22:35:46
Vehicle Breakdown,Breakdown,13.0074,77.5839417,Bellary Road 1,West Zone,Sadashivanagar Traffic PS,Junction near Sadashivanagar Traffic PS,High,False,Car,2023-11-27 03:04:55,2023-11-27 03:12:15
Protest,Procession,13.1032152,77.6253189,Other Corridor,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,Low,False,None,2023-11-27 03:44:35,2023-11-27 06:31:24
Road Repair,Construction,12.9694511,77.7006392,ORR East 2,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-01-23 21:06:50,2024-01-24 09:05:46
Protest,Public Event,12.9381563,77.746941,Other Corridor,East Zone,Whitefield Traffic PS,Dr Br Ambedkar Circle,Low,False,None,2023-11-27 05:39:16,2023-11-27 09:40:46
Vehicle Breakdown,Breakdown,12.9141819,77.6765696,Other Corridor,South Zone,Bellandur Traffic PS,Junction near Bellandur Traffic PS,Low,False,Bus,2024-01-12 22:44:57,2024-01-13 00:30:13
Other,Other,12.9896755,77.5056916,Magadi Road,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,High,False,None,2024-01-24 19:17:04,2024-01-24 20:05:04
Road Repair,Construction,13.0317617,77.5873317,Bellary Road 1,North Zone,Kodigehalli Traffic PS,Junction near Kodigehalli Traffic PS,High,False,None,2024-01-12 23:32:42,2024-01-12 23:40:46
Vehicle Breakdown,Breakdown,12.9473755,77.5328074,Mysore Road,West Zone,Byatarayanapura Traffic PS,Junction near Byatarayanapura Traffic PS,High,False,LCV,2023-11-27 19:04:48,2023-11-27 19:39:47
Vehicle Breakdown,Breakdown,12.9993581,77.5838223,Bellary Road 1,Central Zone,Sadashivanagar Traffic PS,Md Nanjundaswamy Circle,High,False,Bus,2023-11-27 18:47:56,2023-11-27 20:38:31
Vehicle Breakdown,Breakdown,13.0653552,77.5040293,Other Corridor,North Zone,Chikkabanavara Traffic PS,Junction near Chikkabanavara Traffic PS,Low,False,Bus,2023-11-27 20:32:33,2023-11-27 21:01:39
Vehicle Breakdown,Breakdown,13.0356208,77.5347383,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Junction near Yeshwanthpura Traffic PS,High,False,Other,2023-11-27 20:37:54,2023-11-27 20:57:37
Other,Tree Fall,12.9888033,77.4976333,Magadi Road,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,Critical,True,None,2023-12-13 04:11:33,2023-12-13 05:42:59
Vehicle Breakdown,Breakdown,12.9782223,77.5151096,Other Corridor,Central Zone,Jnanabharathi Traffic PS,Junction near Jnanabharathi Traffic PS,Low,False,Truck,2024-01-24 20:39:19,2024-01-24 21:03:46
Vehicle Breakdown,Breakdown,12.9562667,77.7325788,Varthur Road,East Zone,Whitefield Traffic PS,Junction near Whitefield Traffic PS,High,False,Bus,2023-12-13 04:59:33,2023-12-13 07:19:27
Road Repair,Construction,13.0395979,77.6418066,Airport New South Road,East Zone,Hennuru Traffic PS,Junction near Hennuru Traffic PS,Critical,True,None,2023-12-13 05:10:39,2023-12-13 18:10:46
Vehicle Breakdown,Breakdown,12.899533,77.7122526,Other Corridor,Whitefield Zone,Whitefield Traffic PS,Junction near Whitefield Traffic PS,Low,False,Bus,2023-12-13 20:24:34,2023-12-13 21:55:20
Vehicle Breakdown,Breakdown,12.8469493,77.672515,ORR East 1,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,Bus,2024-01-13 05:09:11,2024-01-13 21:29:18
Vehicle Breakdown,Breakdown,12.9024645,77.705852,Other Corridor,Central Zone,Bellandur Traffic PS,Junction near Bellandur Traffic PS,Low,False,Car,2023-12-13 20:53:27,2023-12-13 21:39:47
Road Repair,Construction,12.9695233,77.7005979,ORR East 2,East Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2023-12-13 20:57:24,2023-12-14 09:05:46
Vehicle Breakdown,Breakdown,12.9967664,77.5847577,Bellary Road 1,North Zone,High ground Traffic PS,Junction near High ground Traffic PS,High,False,Other,2024-01-25 05:17:44,2024-01-25 05:57:36
Road Repair,Construction,12.9053195,77.6096809,Other Corridor,Central Zone,Mico Layout Traffic PS,Junction near Mico Layout Traffic PS,Low,False,None,2024-01-25 05:31:10,2024-01-25 10:05:10
Vehicle Breakdown,Breakdown,13.0895998,77.3908201,Other Corridor,Central Zone,Sadashivanagar Traffic PS,Junction near Sadashivanagar Traffic PS,Low,False,Bus,2024-01-13 06:23:31,2024-01-13 06:51:57
Vehicle Breakdown,Breakdown,13.0133386,77.6998768,Other Corridor,Whitefield Zone,K.R. Pura Traffic PS,Junction near K.R. Pura Traffic PS,Low,False,Bus,2024-01-25 06:22:22,2024-01-25 07:03:41
Road Repair,Construction,13.0245468,77.6196009,Other Corridor,North Zone,K.G. Halli Traffic PS,Junction near K.G. Halli Traffic PS,Low,False,None,2023-12-14 18:33:17,2023-12-14 20:40:46
Vehicle Breakdown,Breakdown,12.9423082,77.5481102,Other Corridor,Central Zone,Banashankari Traffic PS,Junction near Banashankari Traffic PS,Low,False,Other,2024-01-25 06:25:23,2024-01-25 07:27:48
Vehicle Breakdown,Breakdown,13.0624717,77.5733483,Other Corridor,North Zone,Kodigehalli Traffic PS,Junction near Kodigehalli Traffic PS,Low,False,Car,2024-01-25 07:56:16,2024-01-25 08:48:00
Vehicle Breakdown,Breakdown,13.041426,77.5457729,ORR North 2,North Zone,Jalahalli Traffic PS,Junction near Jalahalli Traffic PS,High,False,Truck,2024-01-13 19:21:03,2024-01-13 19:29:54
Vehicle Breakdown,Breakdown,13.0035148,77.5298216,Other Corridor,West Zone,Rajajinagar Traffic PS,Junction near Rajajinagar Traffic PS,Low,False,LCV,2024-01-13 20:06:18,2024-01-13 20:54:40
Vehicle Breakdown,Breakdown,12.9630559,77.5124532,Other Corridor,West Zone,Jnanabharathi Traffic PS,Junction near Jnanabharathi Traffic PS,Low,False,Car,2024-01-13 21:09:42,2024-01-13 21:42:23
Vehicle Breakdown,Breakdown,12.9938317,77.5849467,Bellary Road 1,North Zone,High ground Traffic PS,Make In India Circle,High,False,Truck,2024-01-25 08:58:51,2024-01-25 09:19:36
Vehicle Breakdown,Breakdown,13.0842575,77.5519225,Other Corridor,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,Low,False,Bus,2024-01-25 08:46:37,2024-01-25 10:53:09
Other,Tree Fall,13.0132709,77.6484194,Other Corridor,Whitefield Zone,Banaswadi Traffic PS,Junction near Banaswadi Traffic PS,Medium,True,None,2024-01-25 10:14:44,2024-01-25 20:49:41
Vehicle Breakdown,Breakdown,13.10963,77.6035517,Bellary Road 2,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,High,False,Car,2023-12-15 04:36:41,2023-12-15 06:49:58
Vehicle Breakdown,Breakdown,13.0468693,77.5024237,Other Corridor,West Zone,Peenya Traffic PS,Junction near Peenya Traffic PS,Low,False,Car,2024-01-25 21:05:52,2024-01-25 21:35:50
Vehicle Breakdown,Breakdown,13.0424133,77.5492224,ORR North 2,North Zone,Jalahalli Traffic PS,Junction near Jalahalli Traffic PS,High,False,LCV,2023-12-15 03:56:39,2023-12-15 04:09:43
Vehicle Breakdown,Breakdown,13.1312897,77.615127,Bellary Road 2,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,High,False,Truck,2024-01-14 01:21:18,2024-01-14 02:08:00
Vehicle Breakdown,Breakdown,13.0034717,77.5838414,Bellary Road 1,Central Zone,Sadashivanagar Traffic PS,Mahalakshmi Mandir Circle,High,False,Truck,2024-01-26 03:28:50,2024-01-26 03:48:47
Road Repair,Construction,12.9694376,77.7006327,ORR East 2,East Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2023-12-14 20:47:16,2023-12-15 09:05:46
Vehicle Breakdown,Breakdown,13.0262486,77.5445358,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Sri Vijayamaruthi Circle,High,False,Bus,2024-01-14 03:54:17,2024-01-14 04:45:21
Other,Other,13.0069922,77.7575016,Other Corridor,East Zone,Mahadevapura Traffic PS,Junction near Mahadevapura Traffic PS,Low,False,None,2024-01-14 03:52:06,2024-01-14 04:48:07
Accident,Accident,12.9374294,77.4716733,Other Corridor,Central Zone,Jnanabharathi Traffic PS,Junction near Jnanabharathi Traffic PS,Medium,True,None,2024-01-26 23:50:10,2024-01-27 01:11:54
Accident,Accident,12.9374302,77.4716732,Other Corridor,Central Zone,Jnanabharathi Traffic PS,Junction near Jnanabharathi Traffic PS,Low,False,None,2024-01-26 23:55:27,2024-01-27 01:09:13
Vehicle Breakdown,Breakdown,12.9982107,77.584406,Bellary Road 1,West Zone,Sadashivanagar Traffic PS,Junction near Sadashivanagar Traffic PS,High,False,Other,2024-01-14 04:47:34,2024-01-14 06:19:25
Vehicle Breakdown,Breakdown,13.0429917,77.5986233,ORR North 1,North Zone,Hebbala Traffic PS,Junction near Hebbala Traffic PS,High,False,LCV,2023-12-15 21:12:23,2023-12-15 21:30:02
Vehicle Breakdown,Breakdown,12.9736933,77.698385,ORR East 2,East Zone,Mahadevapura Traffic PS,Junction near Mahadevapura Traffic PS,High,False,Bus,2023-12-15 21:02:05,2023-12-15 21:51:48
Road Repair,Construction,12.9695049,77.7006885,ORR East 2,East Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2023-12-15 21:01:38,2023-12-16 09:05:46
Vehicle Breakdown,Breakdown,13.0114761,77.6158094,Other Corridor,North Zone,K.G. Halli Traffic PS,Junction near K.G. Halli Traffic PS,Low,False,Bus,2023-12-15 21:42:21,2023-12-15 22:07:39
Road Repair,Road Conditions,13.0031856,77.6817413,ORR East 2,East Zone,K.R. Pura Traffic PS,Junction near K.R. Pura Traffic PS,High,False,None,2023-12-15 22:40:58,2023-12-15 23:06:37
Vehicle Breakdown,Breakdown,13.0013317,77.5254817,Other Corridor,West Zone,Rajajinagar Traffic PS,Junction near Rajajinagar Traffic PS,Low,False,Truck,2024-01-14 05:53:40,2024-01-14 07:13:47
Road Repair,Construction,13.0395111,77.6413561,Airport New South Road,North Zone,Hennuru Traffic PS,Junction near Hennuru Traffic PS,High,False,None,2023-12-16 19:39:03,2023-12-17 10:40:46
Accident,Accident,12.973092,77.5130496,Other Corridor,Central Zone,Jnanabharathi Traffic PS,Junction near Jnanabharathi Traffic PS,Low,False,None,2024-01-27 21:19:07,2024-01-27 22:12:28
Accident,Accident,13.0040774,77.5841625,Bellary Road 1,West Zone,Sadashivanagar Traffic PS,Mahalakshmi Mandir Circle,High,False,None,2023-12-16 22:10:23,2023-12-16 22:32:30
Protest,Public Event,13.081431,77.5596623,Other Corridor,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,Low,False,None,2024-01-15 07:42:40,2024-01-15 09:35:46
Protest,Public Event,13.0816543,77.5598044,Other Corridor,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,Low,False,None,2024-01-15 07:44:33,2024-01-15 09:35:46
Vehicle Breakdown,Breakdown,12.9610679,77.5114574,Other Corridor,West Zone,Jnanabharathi Traffic PS,Junction near Jnanabharathi Traffic PS,Low,False,Bus,2023-12-17 02:07:42,2023-12-17 03:18:12
Vehicle Breakdown,Breakdown,12.9610812,77.5129374,Other Corridor,Central Zone,Jnanabharathi Traffic PS,Junction near Jnanabharathi Traffic PS,Low,False,Truck,2024-01-28 00:06:05,2024-01-28 00:55:10
Vehicle Breakdown,Breakdown,12.9935408,77.7574599,Other Corridor,Whitefield Zone,Mahadevapura Traffic PS,Junction near Mahadevapura Traffic PS,Low,False,Truck,2024-01-28 01:29:56,2024-01-28 01:55:34
Vehicle Breakdown,Breakdown,12.9999998,77.6821895,ORR East 2,East Zone,Mahadevapura Traffic PS,Junction near Mahadevapura Traffic PS,High,False,Truck,2024-01-15 18:29:50,2024-01-15 19:01:44
Vehicle Breakdown,Breakdown,12.9857635,77.5265826,Magadi Road,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,High,False,Truck,2023-12-17 06:51:49,2023-12-17 07:08:32
Vehicle Breakdown,Breakdown,12.9186326,77.6698261,Other Corridor,East Zone,Bellandur Traffic PS,Junction near Bellandur Traffic PS,Low,False,Truck,2024-01-15 19:21:04,2024-01-15 20:00:04
Accident,Accident,13.0079927,77.526769,Other Corridor,West Zone,Rajajinagar Traffic PS,Junction near Rajajinagar Traffic PS,Low,False,None,2023-12-17 19:15:48,2023-12-17 19:36:18
Road Repair,Construction,12.9694269,77.7006315,ORR East 2,East Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-01-15 21:07:01,2024-01-16 09:05:46
Vehicle Breakdown,Breakdown,13.026353,77.544093,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Sri Vijayamaruthi Circle,High,False,Bus,2024-01-15 22:27:00,2024-01-15 23:36:02
Road Repair,Construction,13.1093993,77.5802387,Other Corridor,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,Low,False,None,2023-12-18 00:29:11,2023-12-18 03:29:46
Protest,Procession,13.0550629,77.6006986,Other Corridor,North Zone,Hebbala Traffic PS,Junction near Hebbala Traffic PS,Low,False,None,2023-12-18 05:07:07,2023-12-18 06:05:20
Vehicle Breakdown,Breakdown,12.98704927,77.49115508,Magadi Road,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,High,False,LCV,2023-12-18 20:54:19,2023-12-18 21:41:14
Road Repair,Construction,12.9694324,77.7005944,ORR East 2,East Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2023-12-18 21:02:38,2023-12-19 09:05:46
Vehicle Breakdown,Breakdown,13.0058476,77.593119,Other Corridor,Central Zone,R.T. Nagar Traffic PS,Junction near R.T. Nagar Traffic PS,Low,False,Bus,2024-01-28 05:01:38,2024-01-28 05:23:18
Vehicle Breakdown,Breakdown,13.1174,77.6086525,Bellary Road 2,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,High,False,Truck,2024-01-16 05:10:07,2024-01-16 05:30:02
Vehicle Breakdown,Breakdown,12.8539011,77.5887307,Bannerghata Road,Central Zone,Hulimavu Traffic PS,Junction near Hulimavu Traffic PS,High,False,Bus,2024-01-28 07:44:52,2024-01-28 08:07:58
Vehicle Breakdown,Breakdown,12.929715,77.573648,Other Corridor,Central Zone,Banashankari Traffic PS,KR Road-14thCross Junc,Low,False,Bus,2024-01-28 07:02:22,2024-01-28 09:05:53
Vehicle Breakdown,Breakdown,12.9436447,77.6980616,ORR East 1,East Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,Truck,2023-12-21 19:10:20,2023-12-21 19:53:32
Other,Other,12.9884603,77.4728075,Other Corridor,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,Low,False,None,2024-01-29 03:08:26,2024-01-29 03:37:16
Vehicle Breakdown,Breakdown,13.1506186,77.6198101,Bellary Road 2,North Zone,Chikkajala Traffic PS,Hunsemarrenhalli Junction,High,False,Truck,2024-01-29 05:41:09,2024-01-29 08:03:31
Vehicle Breakdown,Breakdown,12.9240352,77.6184979,Hosur Road,South-East Zone,Madiwala Traffic PS,AyyappaTempleJunc,High,False,Bus,2024-01-29 17:08:48,2024-01-29 18:11:51
Vehicle Breakdown,Breakdown,13.0175987,77.5573269,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,YeshwanthpuraCircle,High,False,Truck,2024-01-29 19:09:58,2024-01-29 19:32:18
Vehicle Breakdown,Breakdown,12.9804179,77.5704887,Other Corridor,Central Zone,Chamarajpet Traffic PS,KhodaysCircle(DV UrsCircle),Low,False,Bus,2024-01-29 20:40:29,2024-01-29 21:16:41
Road Repair,Construction,12.969524,77.7005994,ORR East 2,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-01-29 21:01:08,2024-01-30 09:05:46
Vehicle Breakdown,Breakdown,12.9508198,77.7000234,ORR East 1,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,LCV,2024-01-29 19:12:19,2024-01-29 19:42:00
Vehicle Breakdown,Breakdown,13.0197552,77.7090345,Other Corridor,Whitefield Zone,K.R. Pura Traffic PS,Zero Tolerance Junction,Low,False,Bus,2024-01-29 21:58:38,2024-01-29 22:10:30
Road Repair,Construction,13.039382,77.6416742,Airport New South Road,North Zone,Hennuru Traffic PS,Junction near Hennuru Traffic PS,Critical,True,None,2023-12-26 11:14:06,2023-12-26 13:13:46
Road Repair,Construction,13.0421167,77.5948983,ORR North 1,North Zone,Hebbala Traffic PS,Junction near Hebbala Traffic PS,High,False,None,2023-12-27 22:37:18,2023-12-27 23:28:25
Other,Other,13.0002617,77.757775,Other Corridor,East Zone,Mahadevapura Traffic PS,Junction near Mahadevapura Traffic PS,Low,False,None,2023-12-30 03:47:19,2023-12-30 05:26:16
Vehicle Breakdown,Breakdown,13.0432983,77.6079367,ORR North 1,North Zone,Hebbala Traffic PS,Junction near Hebbala Traffic PS,High,False,LCV,2023-11-10 01:22:07,2023-11-10 02:24:49
Vehicle Breakdown,Breakdown,13.033575,77.58831,Bellary Road 1,North Zone,Kodigehalli Traffic PS,Junction near Kodigehalli Traffic PS,High,False,LCV,2023-11-10 03:34:33,2023-11-10 04:57:04
Vehicle Breakdown,Breakdown,13.07549,77.5469283,Hennur Main Road,North Zone,Hennuru Traffic PS,Junction near Hennuru Traffic PS,High,False,Bus,2023-11-10 06:06:31,2023-11-10 07:21:41
Vehicle Breakdown,Breakdown,13.0395867,77.5433917,ORR North 2,North Zone,Jalahalli Traffic PS,Junction near Jalahalli Traffic PS,High,False,Bus,2023-11-10 19:28:39,2023-11-10 19:39:19
Vehicle Breakdown,Breakdown,13.0198716,77.7091574,Other Corridor,East Zone,K.R. Pura Traffic PS,Zero Tolerance Junction,Medium,True,LCV,2023-11-11 04:48:47,2023-11-11 07:28:04
Vehicle Breakdown,Breakdown,12.9874952,77.4752769,Other Corridor,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,Low,False,Other,2023-11-12 02:50:44,2023-11-12 03:08:01
Road Repair,Construction,12.9693719,77.7009665,ORR East 2,East Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2023-11-13 20:39:23,2023-11-14 09:05:46
Vehicle Breakdown,Breakdown,12.9337824,77.6890112,ORR East 1,East Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,Bus,2023-11-13 20:47:18,2023-11-13 21:28:09
Vehicle Breakdown,Breakdown,12.9097357,77.5365061,Other Corridor,South Zone,Wilson Garden Traffic PS,Junction near Wilson Garden Traffic PS,Low,False,Bus,2023-11-14 01:30:18,2023-11-14 01:43:30
Vehicle Breakdown,Breakdown,12.9262483,77.5318283,Other Corridor,West Zone,Kengeri Traffic PS,Junction near Kengeri Traffic PS,Low,False,LCV,2023-11-14 02:29:38,2023-11-14 03:36:58
Other,Other,13.0570632,77.6484321,Other Corridor,East Zone,Hennuru Traffic PS,Junction near Hennuru Traffic PS,Low,False,None,2023-11-14 19:27:14,2023-11-15 04:18:40
Vehicle Breakdown,Breakdown,13.0249001,77.585098,Bellary Road 1,North Zone,Kodigehalli Traffic PS,Junction near Kodigehalli Traffic PS,High,False,LCV,2023-11-15 07:26:05,2023-11-15 07:40:13
Road Repair,Construction,13.0471651,77.5701698,ORR North 2,North Zone,Kodigehalli Traffic PS,Junction near Kodigehalli Traffic PS,High,False,None,2023-11-15 23:42:29,2023-11-16 05:29:46
Vehicle Breakdown,Breakdown,13.03398,77.5880117,Bellary Road 1,North Zone,Kodigehalli Traffic PS,Junction near Kodigehalli Traffic PS,High,False,LCV,2023-11-17 05:38:28,2023-11-17 06:15:17
Vehicle Breakdown,Breakdown,12.9603335,77.6435282,Old Airport Road,Central Zone,Jeevanbheemanagar Traffic PS,Junction near Jeevanbheemanagar Traffic PS,High,False,Bus,2023-11-17 05:46:13,2023-11-17 06:49:41
Road Repair,Construction,12.9694962,77.7006291,ORR East 2,East Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2023-11-17 21:23:30,2023-11-18 09:05:46
Other,Other,12.9462933,77.5228133,Other Corridor,West Zone,Byatarayanapura Traffic PS,Junction near Byatarayanapura Traffic PS,Low,False,None,2023-11-20 01:20:59,2023-11-20 20:24:20
Vehicle Breakdown,Breakdown,13.0480041,77.5548906,Other Corridor,North Zone,Jalahalli Traffic PS,Junction near Jalahalli Traffic PS,Low,False,Bus,2023-11-20 01:48:16,2023-11-20 03:55:05
Vehicle Breakdown,Breakdown,13.0097673,77.5837359,Bellary Road 1,West Zone,Sadashivanagar Traffic PS,Junction near Sadashivanagar Traffic PS,High,False,Truck,2023-11-20 20:48:51,2023-11-20 21:05:06
Vehicle Breakdown,Breakdown,12.9621842,77.6299419,Other Corridor,Central Zone,Halasur Traffic PS,Junction near Halasur Traffic PS,Low,False,Bus,2023-11-20 20:55:05,2023-11-20 22:22:57
